epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,1799.97,0.70211,0.49367,1.04862,0.96271,0.87816,0.93215,0.78841,0.71626,0.51597,1.03261,0.0008516,0.0008516,0.0008516
118,1820.46,0.7043,0.46587,1.03597,0.98453,0.86563,0.93112,0.78848,0.70558,0.51217,1.02776,0.0008417,0.0008417,0.0008417
119,1841.16,0.69109,0.48126,1.03259,0.965,0.89086,0.92871,0.78852,0.71725,0.49992,1.04544,0.0008318,0.0008318,0.0008318
120,1863.31,0.67871,0.47937,1.03349,0.96841,0.86905,0.93168,0.79002,0.7064,0.50766,1.03349,0.0008219,0.0008219,0.0008219
121,1885.04,0.69135,0.47135,1.02919,0.98653,0.87216,0.93156,0.79357,0.70755,0.49965,1.03912,0.000812,0.000812,0.000812
122,1908.8,0.67263,0.45481,1.01357,0.98458,0.86899,0.93657,0.79475,0.70025,0.50328,1.03362,0.0008021,0.0008021,0.0008021
123,1928.61,0.6963,0.48133,1.04088,0.96488,0.88435,0.93754,0.79586,0.7019,0.4913,1.02931,0.0007922,0.0007922,0.0007922
124,1943.28,0.68725,0.47323,1.03458,0.98225,0.87075,0.9356,0.79535,0.70865,0.48642,1.03737,0.0007823,0.0007823,0.0007823
125,1957.81,0.67605,0.4569,1.02273,0.97889,0.87415,0.93189,0.79207,0.70583,0.49854,1.03292,0.0007724,0.0007724,0.0007724
126,1971.93,0.68932,0.47608,1.03489,0.97564,0.87415,0.93613,0.78779,0.72384,0.50546,1.0519,0.0007625,0.0007625,0.0007625
127,1986.76,0.67079,0.44572,1.01929,0.98452,0.86536,0.93111,0.80146,0.69061,0.49561,1.02868,0.0007526,0.0007526,0.0007526
128,2002.87,0.6694,0.45695,1.02081,0.97365,0.87977,0.93714,0.79378,0.70669,0.49985,1.03713,0.0007427,0.0007427,0.0007427
129,2018.05,0.66272,0.45674,1.01788,0.98451,0.86485,0.93199,0.7911,0.71447,0.4953,1.05275,0.0007328,0.0007328,0.0007328
130,2032.77,0.67734,0.47765,1.02197,0.98449,0.8635,0.93425,0.79271,0.70881,0.49797,1.04517,0.0007229,0.0007229,0.0007229
131,2048.01,0.6736,0.45996,1.02494,0.98273,0.87077,0.93536,0.79399,0.72372,0.48865,1.05646,0.000713,0.000713,0.000713
132,2062.55,0.67367,0.45859,1.01812,0.97535,0.87478,0.93384,0.79703,0.70525,0.49954,1.03229,0.0007031,0.0007031,0.0007031
133,2076.7,0.66922,0.45874,1.01644,0.96646,0.88219,0.93598,0.79358,0.71613,0.49846,1.04088,0.0006932,0.0006932,0.0006932
